iter	Passed	Remaining
0	84	42329
1	107	26711
2	129	21486
3	151	18782
4	172	17123
5	197	16228
6	218	15410
7	240	14793
8	263	14375
9	285	13981
10	306	13637
11	330	13435
12	351	13158
13	373	12960
14	395	12789
15	416	12598
16	439	12487
17	461	12345
18	484	12254
19	505	12129
20	526	12019
21	548	11914
22	570	11821
23	592	11755
24	614	11680
25	635	11590
26	656	11508
27	679	11455
28	700	11379
29	722	11320
30	742	11239
31	764	11177
32	787	11137
33	811	11121
34	833	11076
35	856	11036
36	879	11000
37	902	10974
38	926	10950
39	948	10913
40	970	10869
41	991	10814
42	1014	10781
43	1035	10727
44	1056	10679
45	1078	10648
46	1100	10608
47	1121	10557
48	1141	10504
49	1162	10465
50	1182	10410
51	1204	10377
52	1223	10322
53	1246	10291
54	1267	10257
55	1291	10239
56	1311	10191
57	1333	10162
58	1354	10122
59	1376	10097
60	1400	10075
61	1422	10047
62	1445	10029
63	1474	10046
64	1502	10056
65	1531	10073
66	1558	10070
67	1583	10058
68	1608	10048
69	1634	10041
70	1658	10022
71	1683	10004
72	1708	9992
73	1731	9965
74	1756	9953
75	1780	9934
76	1805	9921
77	1842	9966
78	1872	9976
79	1910	10027
80	1948	10078
81	1982	10107
82	2016	10129
83	2037	10090
84	2059	10057
85	2084	10035
86	2108	10011
87	2129	9971
88	2151	9935
89	2173	9901
90	2196	9870
91	2217	9833
92	2238	9798
93	2260	9765
94	2282	9731
95	2305	9702
96	2329	9680
97	2353	9654
98	2374	9617
99	2398	9592
100	2422	9571
101	2445	9542
102	2469	9516
103	2491	9488
104	2514	9458
105	2537	9431
106	2561	9407
107	2582	9374
108	2604	9342
109	2624	9303
110	2646	9275
111	2670	9250
112	2692	9222
113	2715	9195
114	2737	9164
115	2760	9137
116	2785	9119
117	2808	9093
118	2830	9062
119	2853	9035
120	2875	9007
121	2897	8978
122	2920	8952
123	2943	8924
124	2966	8898
125	2986	8865
126	3011	8844
127	3035	8822
128	3059	8799
129	3082	8772
130	3105	8747
131	3129	8724
132	3149	8691
133	3171	8663
134	3195	8639
135	3219	8616
136	3240	8585
137	3261	8556
138	3285	8532
139	3307	8505
140	3328	8475
141	3352	8451
142	3375	8426
143	3398	8401
144	3420	8373
145	3444	8351
146	3468	8328
147	3490	8301
148	3512	8273
149	3536	8252
150	3596	8313
151	3623	8295
152	3650	8280
153	3680	8269
154	3705	8247
155	3735	8236
156	3762	8220
157	3788	8200
158	3814	8181
159	3838	8157
160	3862	8132
161	3887	8110
162	3910	8085
163	3934	8061
164	3958	8036
165	3983	8014
166	4008	7992
167	4031	7967
168	4056	7945
169	4081	7922
170	4102	7893
171	4126	7868
172	4149	7842
173	4174	7821
174	4199	7799
175	4223	7774
176	4248	7753
177	4274	7731
178	4301	7713
179	4326	7691
180	4351	7669
181	4378	7649
182	4403	7628
183	4430	7608
184	4454	7585
185	4481	7566
186	4509	7547
187	4536	7529
188	4564	7510
189	4590	7489
190	4615	7466
191	4639	7442
192	4661	7414
193	4687	7393
194	4713	7371
195	4737	7347
196	4762	7324
197	4788	7303
198	4815	7283
199	4841	7262
200	4866	7239
201	4893	7219
202	4919	7197
203	4944	7175
204	4969	7151
205	4995	7130
206	5020	7106
207	5045	7083
208	5071	7061
209	5097	7039
210	5120	7012
211	5142	6985
212	5168	6963
213	5192	6939
214	5216	6915
215	5240	6889
216	5265	6867
217	5291	6844
218	5315	6820
219	5341	6797
220	5364	6772
221	5390	6750
222	5416	6727
223	5441	6705
224	5465	6680
225	5492	6658
226	5518	6636
227	5544	6614
228	5584	6608
229	5612	6588
230	5639	6567
231	5666	6545
232	5692	6523
233	5719	6502
234	5745	6478
235	5771	6455
236	5796	6432
237	5822	6409
238	5847	6385
239	5868	6357
240	5889	6329
241	5914	6305
242	5940	6282
243	5962	6255
244	5987	6231
245	6010	6206
246	6038	6185
247	6063	6161
248	6087	6136
249	6112	6112
250	6138	6089
251	6165	6067
252	6189	6042
253	6214	6018
254	6237	5992
255	6264	5970
256	6293	5951
257	6318	5926
258	6342	5901
259	6365	5875
260	6388	5849
261	6412	5824
262	6437	5800
263	6461	5776
264	6483	5749
265	6508	5725
266	6532	5700
267	6556	5675
268	6579	5650
269	6602	5624
270	6627	5600
271	6651	5575
272	6677	5552
273	6701	5527
274	6726	5503
275	6750	5478
276	6797	5472
277	6848	5469
278	6899	5465
279	6925	5441
280	6954	5419
281	6980	5396
282	7010	5375
283	7041	5355
284	7072	5335
285	7102	5314
286	7131	5292
287	7162	5272
288	7197	5254
289	7230	5235
290	7265	5218
291	7296	5197
292	7328	5177
293	7357	5155
294	7394	5138
295	7424	5116
296	7455	5095
297	7490	5077
298	7522	5057
299	7559	5039
300	7602	5026
301	7640	5009
302	7670	4986
303	7693	4960
304	7715	4932
305	7738	4905
306	7757	4877
307	7780	4850
308	7805	4824
309	7829	4798
310	7856	4774
311	7881	4748
312	7906	4723
313	7931	4698
314	7955	4672
315	7976	4644
316	7998	4617
317	8019	4589
318	8043	4563
319	8066	4537
320	8088	4510
321	8111	4484
322	8134	4457
323	8157	4431
324	8180	4404
325	8204	4379
326	8229	4353
327	8253	4328
328	8277	4302
329	8300	4276
330	8323	4249
331	8348	4224
332	8371	4198
333	8395	4172
334	8419	4146
335	8441	4120
336	8463	4093
337	8487	4068
338	8511	4042
339	8534	4016
340	8555	3989
341	8576	3962
342	8598	3935
343	8621	3909
344	8643	3883
345	8666	3857
346	8688	3830
347	8708	3803
348	8731	3777
349	8753	3751
350	8776	3725
351	8798	3699
352	8820	3672
353	8842	3647
354	8865	3620
355	8887	3594
356	8910	3569
357	8932	3543
358	8954	3516
359	8977	3491
360	8999	3465
361	9019	3438
362	9041	3412
363	9063	3386
364	9084	3360
365	9106	3333
366	9127	3307
367	9149	3282
368	9172	3256
369	9193	3230
370	9217	3205
371	9239	3179
372	9263	3154
373	9284	3127
374	9308	3102
375	9330	3077
376	9357	3052
377	9382	3028
378	9407	3003
379	9432	2978
380	9456	2953
381	9479	2928
382	9502	2902
383	9527	2878
384	9550	2852
385	9574	2827
386	9596	2802
387	9619	2776
388	9641	2751
389	9664	2725
390	9687	2700
391	9709	2675
392	9733	2650
393	9756	2624
394	9778	2599
395	9801	2574
396	9825	2549
397	9849	2524
398	9871	2498
399	9894	2473
400	9918	2448
401	9941	2423
402	9963	2398
403	9986	2373
404	10010	2348
405	10033	2323
406	10056	2297
407	10079	2272
408	10102	2247
409	10124	2222
410	10145	2197
411	10168	2171
412	10190	2146
413	10212	2121
414	10235	2096
415	10258	2071
416	10282	2046
417	10304	2021
418	10324	1995
419	10348	1971
420	10371	1946
421	10396	1921
422	10418	1896
423	10443	1871
424	10465	1846
425	10489	1822
426	10510	1796
427	10534	1772
428	10557	1747
429	10580	1722
430	10603	1697
431	10626	1672
432	10650	1647
433	10672	1623
434	10696	1598
435	10719	1573
436	10742	1548
437	10765	1523
438	10789	1499
439	10812	1474
440	10836	1449
441	10859	1425
442	10905	1403
443	10933	1378
444	10954	1353
445	10977	1329
446	10997	1304
447	11020	1279
448	11042	1254
449	11066	1229
450	11094	1205
451	11119	1180
452	11143	1156
453	11167	1131
454	11195	1107
455	11222	1082
456	11248	1058
457	11272	1033
458	11296	1009
459	11321	984
460	11347	960
461	11372	935
462	11396	910
463	11421	886
464	11446	861
465	11470	836
466	11494	812
467	11519	787
468	11545	763
469	11570	738
470	11597	714
471	11622	689
472	11648	664
473	11673	640
474	11698	615
475	11721	591
476	11750	566
477	11778	542
478	11807	517
479	11837	493
480	11865	468
481	11892	444
482	11919	419
483	11944	394
484	11970	370
485	11995	345
486	12020	320
487	12045	296
488	12068	271
489	12094	246
490	12120	222
491	12147	197
492	12173	172
493	12200	148
494	12226	123
495	12251	98
496	12276	74
497	12300	49
498	12325	24
499	12350	0
